indice_tiempo,medio_de_transporte,pais,balanza
2016-12-01,Fluvial/Marítima,Brasil,2696
2016-12-01,Fluvial/Marítima,Chile,-7488
2016-12-01,Fluvial/Marítima,Paraguay,-257
2016-12-01,Fluvial/Marítima,Uruguay,-30849
2016-12-01,Fluvial/Marítima,EE.UU. y Canadá,10621
2016-12-01,Fluvial/Marítima,Resto de América,6862
2016-12-01,Fluvial/Marítima,Europa,13126
2016-12-01,Fluvial/Marítima,Resto del mundo,3220
2016-12-01,Terrestre,Bolivia,12143
2016-12-01,Terrestre,Brasil,-35563
2016-12-01,Terrestre,Chile,-106583
2016-12-01,Terrestre,Paraguay,45422
2016-12-01,Terrestre,Uruguay,-52863
2016-12-01,Terrestre,EE.UU. y Canadá,6394
2016-12-01,Terrestre,Resto de América,12954
2016-12-01,Terrestre,Europa,29495
2016-12-01,Terrestre,Resto del mundo,9149
2017-01-01,Aérea,Bolivia,2570
2017-01-01,Aérea,Brasil,-67554
2017-01-01,Aérea,Chile,-28395
2017-01-01,Aérea,Paraguay,2469
2017-01-01,Aérea,Uruguay,-16306
2017-01-01,Aérea,EE.UU. y Canadá,-29057
2017-01-01,Aérea,Resto de América,-49489
2017-01-01,Aérea,Europa,37939
2017-01-01,Aérea,Resto del mundo,3339
2017-01-01,Fluvial/Marítima,Bolivia,841
2017-01-01,Fluvial/Marítima,Brasil,5563
2017-01-01,Fluvial/Marítima,Chile,-9485
2017-01-01,Fluvial/Marítima,Paraguay,-7761
2017-01-01,Fluvial/Marítima,Uruguay,-100675
2017-01-01,Fluvial/Marítima,EE.UU. y Canadá,19251
2017-01-01,Fluvial/Marítima,Resto de América,5799
2017-01-01,Fluvial/Marítima,Europa,20201
2017-01-01,Fluvial/Marítima,Resto del mundo,5979
2017-01-01,Terrestre,Bolivia,2904
2017-01-01,Terrestre,Brasil,-318756
2017-01-01,Terrestre,Chile,-379514
2017-01-01,Terrestre,Paraguay,-101900
2017-01-01,Terrestre,Uruguay,-191791
2017-01-01,Terrestre,EE.UU. y Canadá,6750
2017-01-01,Terrestre,Resto de América,10251
2017-01-01,Terrestre,Europa,33396
2017-01-01,Terrestre,Resto del mundo,13879
2017-02-01,Aérea,Bolivia,1700
2017-02-01,Aérea,Brasil,-93911
2017-02-01,Aérea,Chile,-26320
2017-02-01,Aérea,Paraguay,839
2017-02-01,Aérea,Uruguay,-10718
2017-02-01,Aérea,EE.UU. y Canadá,-41704
2017-02-01,Aérea,Resto de América,-73076
2017-02-01,Aérea,Europa,8066
2017-02-01,Aérea,Resto del mundo,-1965
2017-02-01,Fluvial/Marítima,Bolivia,436
2017-02-01,Fluvial/Marítima,Brasil,280
2017-02-01,Fluvial/Marítima,Chile,-6945
2017-02-01,Fluvial/Marítima,Paraguay,-5548
2017-02-01,Fluvial/Marítima,Uruguay,-80393
2017-02-01,Fluvial/Marítima,EE.UU. y Canadá,19765
2017-02-01,Fluvial/Marítima,Resto de América,-1088
2017-02-01,Fluvial/Marítima,Europa,24275
2017-02-01,Fluvial/Marítima,Resto del mundo,9155
2017-02-01,Terrestre,Bolivia,-3202
2017-02-01,Terrestre,Brasil,-321532
2017-02-01,Terrestre,Chile,-234550
2017-02-01,Terrestre,Paraguay,-80529
2017-02-01,Terrestre,Uruguay,-189288
2017-02-01,Terrestre,EE.UU. y Canadá,6207
2017-02-01,Terrestre,Resto de América,6878
2017-02-01,Terrestre,Europa,30713
2017-02-01,Terrestre,Resto del mundo,12780
2017-03-01,Aérea,Bolivia,-31
2017-03-01,Aérea,Brasil,-69857
2017-03-01,Aérea,Chile,-20292
2017-03-01,Aérea,Paraguay,929
2017-03-01,Aérea,Uruguay,-3438
2017-03-01,Aérea,EE.UU. y Canadá,-47026
2017-03-01,Aérea,Resto de América,-63274
2017-03-01,Aérea,Europa,13756
2017-03-01,Aérea,Resto del mundo,-7239
2017-03-01,Fluvial/Marítima,Bolivia,-3822
2017-03-01,Fluvial/Marítima,Brasil,6416
2017-03-01,Fluvial/Marítima,Chile,-4580
2017-03-01,Fluvial/Marítima,Paraguay,-3315
2017-03-01,Fluvial/Marítima,Uruguay,-50469
2017-03-01,Fluvial/Marítima,EE.UU. y Canadá,12654
2017-03-01,Fluvial/Marítima,Resto de América,4155
2017-03-01,Fluvial/Marítima,Europa,15186
2017-03-01,Fluvial/Marítima,Resto del mundo,3231
2017-03-01,Terrestre,Bolivia,-19815
2017-03-01,Terrestre,Brasil,-122451
2017-03-01,Terrestre,Chile,-147558
2017-03-01,Terrestre,Paraguay,-43360
2017-03-01,Terrestre,Uruguay,-72307
2017-03-01,Terrestre,EE.UU. y Canadá,5870
2017-03-01,Terrestre,Resto de América,6070
2017-03-01,Terrestre,Europa,27862
2017-03-01,Terrestre,Resto del mundo,8691
2017-04-01,Aérea,Bolivia,2245
2017-04-01,Aérea,Brasil,-40356
2017-04-01,Aérea,Chile,-21987
2017-04-01,Aérea,Paraguay,1716
2017-04-01,Aérea,Uruguay,-150
2017-04-01,Aérea,EE.UU. y Canadá,-44105
2017-04-01,Aérea,Resto de América,-54375
2017-04-01,Aérea,Europa,3784
2017-04-01,Aérea,Resto del mundo,-6461
2017-04-01,Fluvial/Marítima,Bolivia,-1187
2017-04-01,Fluvial/Marítima,Brasil,4361
2017-04-01,Fluvial/Marítima,Chile,746
2017-04-01,Fluvial/Marítima,Paraguay,-1765
2017-04-01,Fluvial/Marítima,Uruguay,-12256
2017-04-01,Fluvial/Marítima,EE.UU. y Canadá,4067
2017-04-01,Fluvial/Marítima,Resto de América,4532
2017-04-01,Fluvial/Marítima,Europa,7928
2017-04-01,Fluvial/Marítima,Resto del mundo,1710
2017-04-01,Terrestre,Bolivia,-2897
2017-04-01,Terrestre,Brasil,-49900
2017-04-01,Terrestre,Chile,-105369
2017-04-01,Terrestre,Paraguay,-60653
2017-04-01,Terrestre,Uruguay,-39998
2017-04-01,Terrestre,EE.UU. y Canadá,2918
2017-04-01,Terrestre,Resto de América,7323
2017-04-01,Terrestre,Europa,19533
2017-04-01,Terrestre,Resto del mundo,5958
2017-05-01,Aérea,Bolivia,1499
2017-05-01,Aérea,Brasil,-12712
2017-05-01,Aérea,Chile,-24077
2017-05-01,Aérea,Paraguay,2172
2017-05-01,Aérea,Uruguay,-148
2017-05-01,Aérea,EE.UU. y Canadá,-50354
2017-05-01,Aérea,Resto de América,-68063
2017-05-01,Aérea,Europa,-21234
2017-05-01,Aérea,Resto del mundo,-15672
2017-05-01,Fluvial/Marítima,Bolivia,-55
2017-05-01,Fluvial/Marítima,Brasil,4735
2017-05-01,Fluvial/Marítima,Chile,735
2017-05-01,Fluvial/Marítima,Paraguay,-2830
