indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2010-09-01,Fluvial/Marítima,EE.UU. y Canadá,1874
2010-09-01,Fluvial/Marítima,Resto de América,5187
2010-09-01,Fluvial/Marítima,Europa,4222
2010-09-01,Fluvial/Marítima,Resto del mundo,1156
2010-09-01,Terrestre,Bolivia,14018
2010-09-01,Terrestre,Brasil,33346
2010-09-01,Terrestre,Chile,66370
2010-09-01,Terrestre,Paraguay,44885
2010-09-01,Terrestre,Uruguay,30509
2010-09-01,Terrestre,EE.UU. y Canadá,2163
2010-09-01,Terrestre,Resto de América,9021
2010-09-01,Terrestre,Europa,13455
2010-09-01,Terrestre,Resto del mundo,4472
2010-10-01,Aérea,Bolivia,4178
2010-10-01,Aérea,Brasil,83289
2010-10-01,Aérea,Chile,25972
2010-10-01,Aérea,Paraguay,4901
2010-10-01,Aérea,Uruguay,8023
2010-10-01,Aérea,EE.UU. y Canadá,22580
2010-10-01,Aérea,Resto de América,35220
2010-10-01,Aérea,Europa,41016
2010-10-01,Aérea,Resto del mundo,12996
2010-10-01,Fluvial/Marítima,Bolivia,3317
2010-10-01,Fluvial/Marítima,Brasil,8343
2010-10-01,Fluvial/Marítima,Chile,1243
2010-10-01,Fluvial/Marítima,Paraguay,5611
2010-10-01,Fluvial/Marítima,Uruguay,37467
2010-10-01,Fluvial/Marítima,EE.UU. y Canadá,3057
2010-10-01,Fluvial/Marítima,Resto de América,6729
2010-10-01,Fluvial/Marítima,Europa,6984
2010-10-01,Fluvial/Marítima,Resto del mundo,1356
2010-10-01,Terrestre,Bolivia,17493
2010-10-01,Terrestre,Brasil,32879
2010-10-01,Terrestre,Chile,66044
2010-10-01,Terrestre,Paraguay,47490
2010-10-01,Terrestre,Uruguay,27560
2010-10-01,Terrestre,EE.UU. y Canadá,3654
2010-10-01,Terrestre,Resto de América,9126
2010-10-01,Terrestre,Europa,21213
2010-10-01,Terrestre,Resto del mundo,4917
2010-11-01,Aérea,Bolivia,4021
2010-11-01,Aérea,Brasil,77830
2010-11-01,Aérea,Chile,25133
2010-11-01,Aérea,Paraguay,4983
2010-11-01,Aérea,Uruguay,5809
2010-11-01,Aérea,EE.UU. y Canadá,28890
2010-11-01,Aérea,Resto de América,34333
2010-11-01,Aérea,Europa,57235
2010-11-01,Aérea,Resto del mundo,13788
2010-11-01,Fluvial/Marítima,Bolivia,3375
2010-11-01,Fluvial/Marítima,Brasil,8808
2010-11-01,Fluvial/Marítima,Chile,1056
2010-11-01,Fluvial/Marítima,Paraguay,6239
2010-11-01,Fluvial/Marítima,Uruguay,40252
2010-11-01,Fluvial/Marítima,EE.UU. y Canadá,5632
2010-11-01,Fluvial/Marítima,Resto de América,6368
2010-11-01,Fluvial/Marítima,Europa,10744
2010-11-01,Fluvial/Marítima,Resto del mundo,1842
2010-11-01,Terrestre,Bolivia,16059
2010-11-01,Terrestre,Brasil,28674
2010-11-01,Terrestre,Chile,65977
2010-11-01,Terrestre,Paraguay,47389
2010-11-01,Terrestre,Uruguay,25458
2010-11-01,Terrestre,EE.UU. y Canadá,5173
2010-11-01,Terrestre,Resto de América,11666
2010-11-01,Terrestre,Europa,36806
2010-11-01,Terrestre,Resto del mundo,7287
2010-12-01,Aérea,Bolivia,5798
2010-12-01,Aérea,Brasil,61458
2010-12-01,Aérea,Chile,21280
2010-12-01,Aérea,Paraguay,6854
2010-12-01,Aérea,Uruguay,6401
2010-12-01,Aérea,EE.UU. y Canadá,29988
2010-12-01,Aérea,Resto de América,46663
2010-12-01,Aérea,Europa,63393
2010-12-01,Aérea,Resto del mundo,14393
2010-12-01,Fluvial/Marítima,Bolivia,3322
2010-12-01,Fluvial/Marítima,Brasil,29760
2010-12-01,Fluvial/Marítima,Chile,1461
2010-12-01,Fluvial/Marítima,Paraguay,8966
2010-12-01,Fluvial/Marítima,Uruguay,33401
2010-12-01,Fluvial/Marítima,EE.UU. y Canadá,7554
2010-12-01,Fluvial/Marítima,Resto de América,8760
2010-12-01,Fluvial/Marítima,Europa,14454
2010-12-01,Fluvial/Marítima,Resto del mundo,2240
2010-12-01,Terrestre,Bolivia,23614
2010-12-01,Terrestre,Brasil,26353
2010-12-01,Terrestre,Chile,73635
2010-12-01,Terrestre,Paraguay,93029
2010-12-01,Terrestre,Uruguay,27016
2010-12-01,Terrestre,EE.UU. y Canadá,6222
2010-12-01,Terrestre,Resto de América,15989
2010-12-01,Terrestre,Europa,29606
2010-12-01,Terrestre,Resto del mundo,10917
2011-01-01,Aérea,Bolivia,6576
2011-01-01,Aérea,Brasil,97209
2011-01-01,Aérea,Chile,18854
2011-01-01,Aérea,Paraguay,5823
2011-01-01,Aérea,Uruguay,3949
2011-01-01,Aérea,EE.UU. y Canadá,39975
2011-01-01,Aérea,Resto de América,37294
2011-01-01,Aérea,Europa,77477
2011-01-01,Aérea,Resto del mundo,16315
2011-01-01,Fluvial/Marítima,Bolivia,2608
2011-01-01,Fluvial/Marítima,Brasil,47006
2011-01-01,Fluvial/Marítima,Chile,2423
2011-01-01,Fluvial/Marítima,Paraguay,6730
2011-01-01,Fluvial/Marítima,Uruguay,25498
2011-01-01,Fluvial/Marítima,EE.UU. y Canadá,12519
2011-01-01,Fluvial/Marítima,Resto de América,7711
2011-01-01,Fluvial/Marítima,Europa,20626
2011-01-01,Fluvial/Marítima,Resto del mundo,3269
2011-01-01,Terrestre,Bolivia,15823
2011-01-01,Terrestre,Brasil,39688
